	Compound 1:  IS_LPC_17:0	Compound 2:  IS_LPC_19:0	Compound 3:  IS_TAG 17:0/17:0/17:0	Compound 4:  IS_TAG(15:0/18:1)_d7+NH4	Compound 5:  IS_PG 17:0_17:0_DROP NOt sure about	Compound 6:  IS_PC_17:0/17:0	Compound 7:  IS_PC_19:0/19:0	Compound 8:  IS PE 17:0 17:0 NL141	Compound 9:  IS_SM_d18:1_17:0	Compound 10:  IS_PE_17:0_17:0	Compound 11:  IS PE(15:0/18:1)_d7 NL141	Compound 12:  IS_CE_18:1_d7+PEG_Possible IS	Compound 13:  PC 17:0	Compound 14:  PC 19:0	Compound 15:  PC 30:1	Compound 16:  PC 32:0	Compound 17:  PC 32:1	Compound 18:  PC 32:2	Compound 19:  PC 34:0	Compound 20:  PC 34:1	Compound 21:  PC 34:2	Compound 22:  PC 34:3	Compound 23:  PC 34:4	Compound 24:  PC 35:1	Compound 25:  PC 35:2	Compound 26:  PC 35:4	Compound 27:  PC 36:1	Compound 28:  PC36:1_2	Compound 29:  PC 36:2	Compound 30:  PC 36:3	Compound 31:  PC 36:3_2	Compound 32:  PC 36:4	Compound 33:  PC 36:4_2	Compound 34:  PC 36:5	Compound 35:  PC 37:4	Compound 36:  PC 38:0	Compound 37:  PC 38:3	Compound 38:  PC 38:6_big_peak	Compound 39:  PC 38:2	Compound 40:  PC 38:3_splitpeak	Compound 41:  PC 38:4	Compound 42:  PC38:5	Compound 43:  PC 38:5_2	Compound 44:  PC 39:0	Compound 45:  PC 40:5	Compound 46:  PC 40:6	Compound 47:  PC 40:7	Compound 48:  PC-plasm 34:0	Compound 49:  PC-plasm 34:1	Compound 50:  PC-plasm 36:2	Compound 51:  PC-plasm 36:4	Compound 52:  PC-plasm 36:5	Compound 53:  PC-plasm 38:5	Compound 54:  PC-plasm 38:6	Compound 55:  PC-plasm 38:4	Compound 56:  PC-plasm 40:5	Compound 57:  LPC 14:0_NOT_Good	Compound 58:  LPC 16:0	Compound 59:  LPC 16:1	Compound 60:  LPC 18:0	Compound 61:  LPC 18:1	Compound 62:  LPC 18:2_DROP	Compound 63:  LPC 18:3_DROP	Compound 64:  LPC 20:3	Compound 65:  LPC 20:4_Notgood	Compound 66:  LPC 22:6_not good	Compound 67:  LPC 20:5_not good	Compound 68:  SM 32:1;O2	Compound 69:  SM 33:1;O2	Compound 70:  SM 34:1;O2	Compound 71:  SM 34:2;O2	Compound 72:  SM 35:1;O2	Compound 73:  SM 36:1;O2	Compound 74:  SM 18:4_NOTgood	Compound 75:  SM 18:3	Compound 76:  SM 20:3_notgood	Compound 77:  SM 42:3;O2	Compound 78:  SM 14:6	Compound 79:  SM 40:1;O2	Compound 80:  SM 42:2;O2	Compound 81:  SM 25:0	Compound 82:  SM 32:1	Compound 83:  TG 44:0	Compound 84:  TG 46:0	Compound 85:  TG 46:1	Compound 86:  TG 48:0 NH4	Compound 87:  TG 48:1	Compound 88:  TG 48:2 NH4	Compound 89:  TG 48:3	Compound 90:  TG 49:0	Compound 91:  TG 50:0	Compound 92:  TG 50:1	Compound 93:  TG 50:2	Compound 94:  TG 50:3	Compound 95:  TG 50:4 NH4	Compound 96:  TG 51:1 NH4	Compound 97:  TG 51:2 NH4_checkPP	Compound 98:  TG 52:0	Compound 99:  TG 52:1	Compound 100:  TG 52:2	Compound 101:  TG 52:4	Compound 102:  TG 52:3_drop	Compound 103:  TG 55:8	Compound 104:  TG 52:5 NH4	Compound 105:  TG 53:2 NH4	Compound 106:  TG 54:1_CheckPP	Compound 107:  TG 54:2_cehckPP	Compound 108:  TG 54:4	Compound 109:  TG 54:5	Compound 110:  TG 54:7	Compound 111:  TG 56:2	Compound 112:  TG 56:3	Compound 113:  TG 56:4 NH4	Compound 114:  TG 56:5 NH4	Compound 115:  TG 56:6 NH4_notgood	Compound 116:  TG 56:7 NH4_notgood	Compound 117:  Cer 18:1;O2/16:0	Compound 118:  Cer d18:1/17:0	Compound 119:  Cer d18:1/22:0	Compound 120:  Cer d18:1/22:1_not in CLIG	Compound 121:  Cer 18:1;O2/24:1	Compound 122:  DHCer d18:0/24:1_not in CLIG	Compound 123:  Cer d18:1/24:0	Compound 124:  DHCer d18:0/24:0	Compound 125:  DHCer d18:0/22:0	Compound 126:  DG 32:1 -H2O	Compound 127:  DG 34:0 -H2O	Compound 128:  DG 34:1 -H2O	Compound 129:  DG 34:2	Compound 130:  DG 34:2 -H2O	Compound 131:  DG 36:1 -H2O	Compound 132:  DG 36:2	Compound 133:  DG 36:2 -H2O	Compound 134:  DG 36:3	Compound 135:  DG 36:3 -H2O	Compound 136:  DG 36:4	Compound 137:  DG 36:4 -H2O	Compound 138:  LPE 18:1	Compound 139:  Cholesterol	Compound 140:  Cholesterol from Cholesterol esters_checkPP	Compound 141:  7-hydroxycholesterol_possible	Compound 142:  Lanosterol fragment +H-H2O	Compound 143:  Lanosterol fragment +H-H2O off Cholesterol esters	Compound 144:  CE 12:0 +H-H2O	Compound 145:  CE 14:0 +H-H2O	Compound 146:  CE 14:1 +H-H2O	Compound 147:  CE 16:0 +H-H2O	Compound 148:  CE 16:1	Compound 149:  CE 16:1+H-H2O	Compound 150:  CE 16:2 +H-H20	Compound 151:  CE 18:0 +H-H2O	Compound 152:  CE 18:1 +H-H2O	Compound 153:  CE 18:2 +H-H2O
EC72_Lipidomics_000095_Pool	79.178	1311.246	455.946	91.578	1.963	8635.312	1411.157	3143.102	667.082	38.061	18.282	293.201	8829.188	1428.586	108.119	3387.639	2124.105	171.46	184.37	12731.919	1404.389	283.345	247.192	122.356	414.146	152.195	144.808	2245.534	6969.531	985.56	347.309	237.121	1099.305	166.926	19.481	1428.586	410.836		308.739	689.222	832.308	347.373	213.887	58.867	366.687	171.245	37.635	658.009	159.844	106.059	14.254	29.96		120.677	245.753	15.998	9.385	15.976	10.733	17.242	22.496	4.035	1.348	8.212	4.531	0.786	0.93	63.248	11.757	17.532	56.635	684.383	87.297	0.039	36.008	8.969	225.423	72069.438	33.412	695.216	13.84	7.072	55.273	156.916	31.228	369.6	57.815	37.908	39.649	172.923	349.237	120.671	126.554	44.238	20.881	23.736	18.732	135.776	68.016	386.082	399.597		2017.19	120.882	12.053	61.848	211.649	1621.056	1154.76	409.405	25.054	57.907	60.548	31.75	11.326	3.659	173.658	10.683	40.994	7.56	31.611	142.285	18.808	9.348	2.256	289.657	92.632	560.1	61.883	4121.638	925.892	38.46	2559.298	1168.857	3073.963	2068.856	2118.807	30.47	2.564	91.083	41.75	136.372	254.441	40.392	121.166	20.62	3.855	6.002	5.03	130.945	1.281	6.623	7.072
EC72_Lipidomics_000096_Solvent	0.968		47.477	0.557	0.013	0.473	2.608	1.849	0.065			137.051	0.369	0.284	10.481	2.215	1.232	2.372	0.287	2.903	3.011	0.947	3.068		9.672	0.272			4.214		0.731	0.013	0.149	0.146	0.273	4.812	2.557	0.142		0.1		1.188	1.274	0.468			0.668	6.822	1.57	1.092	0.241	2.256				0.332	4.336	1.682	0.943	2.024	2.033	0.309	0.436	3.106	0.245	2.424	0.626	0.418	1.371				1.3		3.558	0.639		2052.989	0.769	2.201	12.134		69.224	183.851	28.114	253.691	45.103	22.371	12.554	102.24	157.661	26.155	28.902	14.632	2.567	14.679	16.787	71.16	9.694	38.086	6.717	0.175	0.292		2.871	4.576	9.924	3.807	17.374	0.681	3.454	0.847	1.922	6.406	2.438	1.627	0.868		1.026		0.801	0.753	0.632	0.295	1.275		0.396	2.182	1.097	2.296	2.577	0.687	3.43			0.678	1.414	1.181	3.796	28.98	2.28	6.93	3.42	50.425	26.792	2.927	5.132	1.111	0.046	5.626	0.667	1.538	1.886
EC72_Lipidomics_000097_POS_072-153_5 µM epi:nor_24	361.366	5520.687	409.284	1.398		7856.252	3105.968	652.817	2164.946	0.573		206.056	7867.141	3113.188	510.248	2107.076	4713.992	682.821	810.052	7494.83	3063.744	323.483	862.387	309.084	355.534	438.588	556.699	2406.338	5354.998	954.04	1357.739	555.563	867.749	541.522	53.055	3113.188	676.747	197.402	465.253	756.457	1495.491	761.552	620.814	140.924	231.16	420.47	138.944	1021.764	84.511	55.08	86.407	10.761	56.21	203.489	94.079	15.741	3.797	757.943	2.306	98.018	707.814		151.711	1.357	24.883	5.558	1.758	280.969	73.107	2450.538	252.363	2209.706	40.51	70.165	614.095	0.688	196.736	4146.785	131.156	1078.512	25.19	2.945	67.866	211.422	36.828	323.359	73.483	46.651	40.243	162.626	263.548	113.299	50.817	24.176	1.868	16.837	25.898	37.791	59.104	136.85	0.306	1.669	1.395	13.818	9.072	8.267		26.107		0.122		7.667	12.906	6.015	6.636	1.698	42.954	0.523	0.852		79.144	0.703	36.094	2.603	0.632	12.585	19.539	4.745	2.036	2.52			6.034		0.751		0.86	1.568	298.587	148.409	0.633	8.71	3.332	108.898	102.777	15.813	4.459	2.062	12.504	8.496	8.608	0.749	1.232
EC72_Lipidomics_000098_POS_072-156_TNFa_24	92.914	1514.6	441.015	2.995	0.406	3346.359	857.468	571.129	837.871	103.118	0.902	506.841	3427.293	879.966	269.288	2228.04	3639.029	319.836	685.363	6948.718	2639.139	295.851	426.291	191.273	373.521	207.896	362.457	1798.384	4092.708	400.597	1335.551	379.36	704.963	325.231	24.086	879.966	554.317	176.384	307.303	491.962	1108.71	707.734	427.587	195.471	110.674	360.989	182.683	708.049	109.787	62.187	72.018	28.746	76.882	84.79	91.285	13.207	0.527	7.757	7.405	28.068	21.322	5.823	4.279		1.595	1.361	7.552	113.728	34.149	686.215	98.146	871.641	23.947	7.822	41.869	2.663	78.189	5607.489	20.173	335.558	5.459	16.637	52.243	248.405	44.102	549.645	84.716	81.73	29.844	240.826	603.314	199.015	245.987	58.393	29.211	52.187	36.645	285.059	113.866	728.372	489.052		2436.102	158.581	31.938	111.348	316.127	2212.19	1322.355	519.877	47.063	75.279	144.791	57.255	20.867	1.159	81.607	39.429	50.334	11.714	96.003	152.589	54.348	13.415	3.876	179.739	86.401	688.902	63.715	2488.169	1198.223	68.886	2749.313	504.697	1154.314	911.354	903.492	36.346	103.019	20.308	78.947	104.516	273.187	28.95	148.117	34.765	12.198	7.592	38.504	182.226	1.372	1.7	1.313
EC72_Lipidomics_000099_POS_072-150_5 µM nor_24	55.495	690.1	222.392	4.033	0.928	1250.731	509.652	193.162	242.284	34.998	0.366	396.744	1326.53	510.077	167.383	1065.262	2432.365	179.912	318.638	4803.17	1688.116	140.529	267.768	88.883	213.072	170.739	140.95	1094.899	2786.522	128.349	689.251	282.723	407.147	135.368	15.535	510.077	202.657	154.344	132.916	317.166	677.404	294.051	199.041	53.865	76.634	162.253	53.865	448.15	113.752	50.371	75.893	10.616	77.087	104.229	86.476	8.848	1.331	32.734	6.945		24.338	3.662	35.857		0.766	1.753	0.678	69.064	13.068	336.704	72.425	262.88	14.25	5.186	52.346	21.984	74.475	5687.775	19.691	176.655	16.045	16.165	68.87	244.108	31.297	500.448	89.927	53.92	41.32	162.939	503.921	140.686	146.494	56.96	34.089	31.363	26.167	187.607	82.755	522.632	566.205	0.765	954.689	147.712	20.924	63.768	188.615	1959.993	1473.865	575.498	29.185	56.566	84.952	98.912	20.187	7.059	41.403	20.853	34.176	9.834	59.692	270.656	27.059	21.877	3.675	133.273	64.564	664.791	56.921	2143.491	984.728	84.509	2857.787	478.647	1045.492	802.801	781.297	25.731	75.366	134.639	24.328	85.775	192.175	144.414	105.133	36.961		8.907	25.145	134.718	1.909	2.164	1.697
EC72_Lipidomics_000100_POS_072-138_5 µM epi:nor_4	86.621	1626.135	1280.559	0.706	0.286	93.289	1988.856	583.571	907.052	49.75	0.062	2162.766	93.484	1978.367	210.155	1461.959	3148.667	285.923	642.485	5701.199	2654.773	185.95	426.792	102.847	385.678	219.472	308.068	3370.017	3551.206	20.451	1294.034	590.284	587.656	342.774	210.399	1978.367	416.342	217.887	738.856	593.405	1122.03	994.062	337.685	163.601		405.421	124.926	781.37	128.141	89.491	158.535	59.854	116.356	93.901	157.389	13.354		19.074	36.483	29.638	5.006	13.509	1.061	66.525	0.567	5.154	0.797	112.837	14.206	729.209	103.138	920.379	2.538	4.593	93.136		668.209	47364.813	17.029	633.22	151.721	1.151	53.942	32.214	32.933	2244.945	394.046	6.804	7.053	73.586	2323.229	577.436	806.35	38.184	100.915	188.453	176.502	307.548	642.651	2520.408	63.242	1.362	12218.365	147.746	111.047	184.799	1531.45	13408.33	909.073	1860.586	74.392	481.025	602.232	32.358	70.24	36.344	27.049	141.739	210.996	105.736	269.483	820.863	89.305	82.274	14.841	1120.918	287.846	3515.583	156.065	9538.52	6325.274	289.215	11535.305	1264.817	3130.216	3010.431	3717.191	29.547	95.35	140.722	71.248	140.757	1009.222	568.578	388.709	272.21	7.764	0.567	71.24	758.354	1.582	3.233	4.835
EC72_Lipidomics_000101_POS_072-146_0µM_24	88.01	1479.378	461.959	1.483	3.689	4206.637	1078.786	665.449	785.337	48.782	0.071	517.459	4207.114	1059.629	175.327	1731.361	2834.902	261.256	573.768	5706.942	1981.357	229.558	347.776	104.02	286.686	122.015	333.169	1474.608	3225.189	478.119	935.511	266.441	591.468	199.763	16.663	1071.39	336.509	154.708	216.999	375.129	839.545	461.918	323.99	74.374	83.96	249.664	74.374	561.197	129.101	68.804	109.31	45.657	107.819	121.636	107.119	21.499		31.447	0.626	32.72	23.689	3.166	9.124		2.323	1.747	2.544	104.616	9.645	565.164	108.918	816.737	28.591	5.228	28.783	1.233	124.275	6361.007	33.097	349.655	6.309	12.191	55.708	219.765	34.446	540.334	44.747	49.414	24.685	143.403	666.562	193.701	202.844	57.458	35.865	52.754	40.211	297.122	230.569	622.17	577.278		2391.796	205.134	29.357	110.022	301.325	2497.21	1619.858	680.459	49.283	87.865	158.078	28.159	12.819	5.997	39.456	37.315	62.727	18.431	51.542	244.604	45.326	29.328	0.4	203.561	99.644	731.194	61.653	2846.73	1228.987	74.714	3036.621	540.724	1293.796	1082.589	1062.502	50.502	72.582	60.814	76.591	110.046	356.394	167.325	156.147	35.736	11.47		15.918	180.483	1.633	0.716	3.281
EC72_Lipidomics_000102_POS_072-155_5 µM epi:nor_24	207.826	2817.315	943.542	131.65		6291.593	2407.629	447.182	1503.521	113.764	4.339	380.306	6292.54	2375.154	469.384	1871.16	4898.777	671.513	676.042	7371.714	3284.273	305.425	895.275	300.438	343.22	278.68	19.767	2332.365	5243.24	834.668	1197.109	555.225	878.745	579.175	24.627	2375.154	618.343	227.887	459.649	759.294	1370.903	621.81	625.358	174.37	206.298	395.181	154.672	1036.42	126.689	89.02	37.519	3.025	86.796	69.956	141.305	6.399	8.493	98.68	9.753	85.075	81.826		9.886	0.63	6.464	0.385	2.32	182.92	42.342	1685.651	200.288	1539.5	38.955	51.019	446.155	1.097	179.653	5126.555	192.447	787.571	33.365	4.345	157.855	427.465	76.572	656.448	161.841	75.917	33.014	156.438	507.196	233.19	185.347	48.277	3.996	44.828	51.718	250.941	129.043	275.644	27.993		1.773	5.011	17.858	53.142	110.55	190.701	51.984	6.571	19.265	0.323	21.79	6.411	18.82	0.93	41.901		1.977	0.199	64.54	20.104	38.568	8.981	1.323	15.2	40.315	20.772	7.577	51.977	21.229	0.652	63.289	10.06	20.214	8.775	8.765	4.521	317.91	529.37	1.995	2.5	8.909	168.075	225.679	41.377	13.777	0.287	2.478	20.408	2.21	3.501	1.886
EC72_Lipidomics_000103_POS_072-151_5 µM nor_24	317.024	5941.271	439.473	0.666	0.619	4193.679	1066.263	524.882	847.445	19.474	0.125	560.009	4219.355	1071.906	192.476	1734.083	2912.469	264.791	501.767	5595.822	1953.641	240.939	409.627	104.011	314.059	165.225	304.137	1353.674	3082.856	497.706	835.303	320.7	592.973	229.915	29.651	1071.906	290.457	163.044	214.399	374.913	849.494	497.958	301.782	69.577	115.504	271.859	69.577	567.057	89.476	46.169	153.48	46.263	79.265	65.044	86.827	3.292	4.564	43.569	3.504	108.075	115.32	26.722	16.982	1.028	8.253	3.128	0.428	100.274	18.808	743.835	82.836	860.952	33.49	2.06	60.778	0.845	129.482	4952.026	21.813	376.686	23.418	2.918	63.376	250.738	33.004	620.927	107.463	64.989	45.82	226.98	690.255	178.086	208.315	56.673	23.369	33.688	37.46	286.591	140.312	570.124	515.708	0.06	2375.533	124.339	18.466	106.608	306.915	2359.188	1417.391	595.313	47.32	91.504	105.717	66.753	9.66	0.481	40.361	41.349	58.852	16.572	61.908	271.848	52.064	39.095	6.069	202.657	79.508	755.562	71.06	2715.234	1218.676	70.23	2658.368	505.391	1309.177	965.35	950.014	96.02	89.324	33.301	60.473	26.135	379.244	154.783	145.68	44.813	12.623	14.89	18.678	132.703		5.287	2.642
EC72_Lipidomics_000104_Solvent	2.758		49.769	1.075	0.597	2.592			0.46	0.434	0.643	193.37	1.491		3.183	0.988	1.117	5.294	1.177		3.747	0.753	1.267	0.533	1.271		1.469		0.559	0.137		0.312		0.672		17.904	0.03	0.088			1.385	1.773	0.106	1.985			0.802	5.268	2.728	1.299						1.597	8.392	2.71	1.897	1.144	0.972		1.534	0.818	2.32	0.737	0.888	0.626	0.253	1.558		0.46	0.271	0.923	0.638	0.456	0.302	2112.401	0.606	0.741	0.252	0.247	60.307	226.376	42.936	352.243	34.239	41.569	37.5	107.612	210.836	43.518	23.973	19.26		8.604	25.278	64.277	24.772	32.657	0.503	0.316	1.934		4.823	2.161	13.343	5.217	1.25	1.366		1.104		6.694	0.842	0.181	0.839		0.049	0.021	1.492		0.809	2.844	3.331		9.78		9.563	1.752		1.129	1.261		5.047	0.682	0.189	0.585	0.743	31.711	0.713	2.049	1.521	39.759	16.46	0.198	4.172	1.069		6.569	8.067	2.729	4.161
EC72_Lipidomics_000105_Pool	75.245	1332.784	480.902	90.692	0.751	2454.233	856.749	573.675	673.641	24.853	18.112	341.64	2492.271	850.682	128.003	1204.967	2186.222	172.085	432.375	3946.05	1552.001	143.37	259.642	52.391	222.676	149.09	232.748	679.016	2089.228	275.087	580.135	281.2	400.516	146.831	7.29	850.682	106.522	142.708	118.17	203.884	580.904	417.25	230.453	64.056	54.613	150.408	64.056	352.152	68.524	46.828	58.685	29.58	74.493	53.84	75.313	7.519	1.507	19.284	1.496	28.003	24.457	8.76	1.819	14.488	4.831	0.796	9.87	59.368	8.745	496.143	44.215	699.895	13.473	1.631	35.915		42.483	22140.979	8.523	161.655	8.31	6.068	62.111	192.435	41.038	441.426	73.323	26.409	11.485	148.352	379.458	120.249	153.987	40.399	3.736	18.615	29.183	163.076	54.648	491.654	432.238	0.129	2116.353	162.868	11.519	71.643	195.345	1770.318	1199.576	435.942	19.068	62.814	75.818	31.962	5.299	3.402	53.961	22.479	37.68	15.711	37.176	135.398	20.409	10.285	2.177	146.483	59.758	572.448	57.533	2004.151	888.472	75.104	2377.938	437.537	980.195	637.324	589.388	19.883	65.064	77.673	27.647	65.374	255.299	45.068	131.637	18.049	4.044	3.008	28.167	105.042	12.846	5.926	1.528
EC72_Lipidomics_000106_Solvent			44.44		0.531	0.578		2.089	1.85	1.16	0.197	166.261	0.83			0.816	0.636	3.105	0.849	1.77	0.22	1.394	0.656	0.469	2.396			2.924	2.891	0.184	0.249	0.2	1.887	2.123	0.697	2.123	0.422		0.42	0.055		0.688	1.064	1.992	0.31		0.954	1.541	4.639	1.122		0.242			0.311	4.643	0.988	1.253	1.811	4.495		4.825	2.168	0.212	0.67	3.06	0.309	0.204	0.763	0.494	1.45	1.126	0.358	0.138	1.857	1.112	0.646	2176.22	0.305	0.746	4.983	1.765	98.36	225.888	32.844	256.923	27.965	34.372	29.338	148.76	205.008	44.798	17.794	7.144	5.091	17.857	15.997	62.838	0.32	27.079	3.915	0.261	0.548		5.603	1.23	3.886	1.083	38.789	0.967	2.953		0.918	6.452	1.046	0.879	0.716		0.123	0.335	1.733	0.247	0.145	2.636	0.891		17.358		3.561	1.478	1.881				6.371	1.018	0.23	1.647	1.598	45.546	0.871	7.193	3.656	4.679	6.066	7.502	4.345	0.974	3.155	0.793	0.405	2.728	5.44
EC72_Lipidomics_000107_POS_072-157_TNFa_24	110.493	1555.071	544.996	0.348	0.311	4075.4	1151.453	507.837	909.693	88.913	0.392	554.179	4145.839	1134.53	249.934	2354.572	3563.466	310.26	692.631	6894.861	2599.649	328.083	476.183	180.341	394.381	195.576	101.672	1819.808	3796.254	510.501	1326.652	358.917	730.536	330.45	17.057	1134.53	420.178	173.629	283.585	504.027	1095.597	766.904	349.269	219.266	156.582	366.613	142.31	717.811	157.542	60.834	114.825	24.66	95.902	59.954	91.811	12.677	1.095	12.572	0.894	26.833	27.538	11.899	8.464	3.396	2.6	0.489	0.509	97.57	21.213	697.91	102.126	926.457	21.589	4.713	68.558	4.029	142.982	6427.544	29.325	362.967	4.806	19.42	53.396	231.376	57.985	568.56	131.078	48.671	43.718	224.175	622.338	236.909	274.723	54.133	20.746	33.909	57.192	356.566	141.609	831.93	560.508	0.217	2642.465	199.017	28.497	131.855	371.99	2575.777	1607.554	617.887	42.21	119.539	150.129	142.429	27.193	5.169	83.667	32.565	43.646	7.9	3.724	233.446	41.055	34.198	2.821	232.632	93.38	806.636	77.813	2917.079	1280.328	99.183	3068.19	602.695	1346.723	1237.215	1089.383	74.078	99.687	17.934	61.654	105.83	376.757	28.119	201.013	83.049	17.576	12.281	32.759	218.364	7.148	4.276	5.087
EC72_Lipidomics_000108_POS_072-136_5 µM nor_4	60.668	1261.108	464.969	6.146	0.473	3064.562	641.748	658.156	722.715	17.107		498.751	3073.477	642.619	129.701	1144.617	2056.017	186.172	438.474	4007.439	1623.874	152.764	253.134	65.861	232.928	116.542	224.259	812.287	2293.885	372.316	690.631	322.25	422.534	189.199	10.831	642.619	184.487	130.969	144.707	243.793	703.628	497.031	228.33	74.447	63.658	199.186	74.447	413.031	122.301	39.547	112.931	55.959	97.405	71.268	102.17	3.68	7.138	10.112	32.502	18.49	2.523	9.545	1.232	52.967	1.989	0.832	1.991	71.309		457.812	59.573	779.587	22.947	4.06	35.245	5.025	49.674	9316.582	17.188	154.922	16.161	4.617	63.526	247.833	44.296	573.924	79.234	20.675	16.31	153.441	609.714	188.571	198.229	59.979	40.995	36.268	35.866	215.551	131.372	619.152	560.408	0.368	2869.988	183.711	27.076	125.927	360.539	2654.259	1615.463	625.896	48.391	100.572	157.548	51.067	5.658	6.13	27.442	32.434	63.445	23.547	28.343	232.418	20.903	24.872	0.773	201.62	96.51	798.872	94.598	2838.881	1275.926	95.732	3127.499	603.953	1368.841	1124.248	1051.742	26.634	64.999	21.086	78.125	94.015	381.345	137.361	136.292	30.482	14.241	12.945	13.74	204.672	1.643		4.49
EC72_Lipidomics_000109_POS_072-130_0µM_4	65.564	990.196	493.368	1.273	0.301	3451.421	1379.638	637.806	979.445	28.259	0.374	538.741	3482.904	1349.628	112.056	1087.858	1676.139	173.106	366.479	3436.776	1458.547	153.257	263.601	74.956	183.043	78.263	175.826	703.876	2003.202	416.512	598.572	249.531	437.015	253.19	8.765	1359.554	175.371	106.435	113.598	143.942	611.828	461.899	231.454	85.304	56.309	205.321	73.615	313.794	77.225	36.196	83.352	17.967	65.9	135.367	63.478	8.791		9.975	6.194	26.047	13.221	8.104	20.395	32.196	2.397	1.811	4.186	45.993	7.101	699.47	47.169	1015.697	28.862	4.794	116.624	5.29	48.504	9563.719	23.595	234.814	5.72	16.467	71.601	321.766	53.752	670.476	105.112	14.445	1.931	225.344	546.005	159.878	174.204	46.418	21.269	35.667	20.161	230.307	103.797	477.916	376.854	0.49	2141.776	125.356	15.457	83.647	225.101	1671.796	1116.643	398.652		72.213	84.488	24.605	8.59	9.574	20.46	36.919	30.484	11.275	34.423	224.691	26.55	18.635	3.959	127.22	82.122	597.06	50.098	1881.224	877.379	62.356	2302.379	429.999	912.418	659.226	618.789	29.338	56.511	39.657	56.99	96.937	310.887	163.793	167.663	30.08	4.369		6.887	112.954	2.611	5.0	10.642
EC72_Lipidomics_000110_POS_072-131_0µM_4	77.391	1027.05	428.283	1.367	0.16	3672.862	824.741	695.987	952.656	49.263	0.447	492.927	3675.386	819.765	96.993	1319.047	2184.964	214.526	398.736	3640.102	1859.413	165.465	354.759	31.24	262.385	62.511	153.977	831.389	2067.81	471.07	824.573	344.112	331.59	323.644	4.888	832.351	192.789	146.322	160.946	114.958	685.258	650.155	134.118	59.932		215.417	59.932	288.309	100.059	42.531	138.287	3.955	99.284	130.187	69.936	4.739	10.059	16.064	11.328	22.783	11.402	1.336	3.322	44.721	7.352	1.848	0.473	89.746	15.677	700.665	47.118	984.959	36.084	2.275	93.929	2.871	48.861	14797.422	15.556	235.784	5.636	5.601	70.666	221.003	46.781	604.248	2.837	33.81	34.631	195.766	541.589	112.583	156.774	44.805	25.839	28.485	35.514	221.541	106.851	457.979	388.095	1.369	2636.556	159.029	12.193	74.039	257.312	1690.062		520.102	36.072	67.342	110.93	58.185	12.227	4.051	23.554	38.906	39.644	9.806	45.976	222.686	24.621	16.366	2.212	185.05	68.547	588.05	99.064	2451.063	1446.381	129.958	1978.59	500.798	1070.526	911.405	912.077	46.529	81.365	89.363	64.803	144.741	373.288	369.001	237.303	103.191	9.606		31.216	376.366	4.517	4.477	8.405
EC72_Lipidomics_000111_POS_072-144_0µM_24	100.726	1049.643	464.544	1.635	0.207	3908.422	671.63	724.132	486.72	35.607	0.023	699.091	3917.56	666.407	309.266	2093.635	3923.184	381.098	859.175	7975.482	2257.508	252.929	507.627	186.042	426.635	198.442	446.633	1978.292	4407.867	481.359	1092.116	255.309	807.395	220.709	23.232	666.407	542.122	235.507	293.162	567.402	1196.003	536.869	472.138	80.127	127.414	348.71	80.127	762.041	133.345	89.658	135.829	23.627	150.375	126.153	136.003	28.791	1.199	28.104	2.77	41.02	26.994	20.676	4.882		1.364	1.442	2.116	147.664	15.765	571.661	126.006	509.735	29.452	6.316	42.371	1.097	126.062	9243.987	18.76	324.31	3.069	10.241	67.355	239.468	52.274	808.741	52.179	41.167	39.509	281.386	725.503	229.095	214.436	77.04	37.916	47.198	51.661	182.187	89.415	831.987	700.314	0.719	2740.2	215.299	24.549	64.655	370.302	2968.89	1870.113	827.174	30.065	115.524	122.236	91.458	31.245	5.335	61.503	60.15	62.495	20.035	80.234	287.962	64.817	38.729	6.789	288.813	38.292	744.319	150.843	2603.814	1806.074	172.271	1893.373	611.846	1272.238	1515.082	1439.113	82.167	81.5	64.497	102.385	135.601	313.404	183.023	310.099	96.258	6.604	2.165	16.816	288.977	7.019	12.156	7.249
EC72_Lipidomics_000112_POS_072-128_0 µM_0	164.383	2071.925	239.445	5.155		6295.123	1810.467	491.408	1660.124	56.146	0.231	232.6	6296.091	1794.394	270.652	1239.254	2275.373	341.315	645.846	5857.5	2214.953	247.685	267.642	208.052	294.733	195.821	496.264	1352.255	4468.055	864.266	1045.162	436.769	1027.425	445.335	17.177	1810.433	524.47	62.712	240.787	522.839	1100.646	602.35	864.605	130.73	153.986	325.916	130.73	730.158	92.656	65.182	86.101	0.894	84.492	54.955	120.078	18.467	1.219	35.425	39.947	64.128	48.822		3.712	106.268	8.608	3.584	4.819	127.832	33.429	1138.107	112.415	1674.032	22.332	12.402	226.395	1.802	106.945	13147.98	34.922	487.299	27.735	1.994	69.767	355.132	54.058	524.793	69.428	59.928	61.836	262.574	238.054	137.545	70.904	25.215	0.887	54.359	40.45	139.313	43.007	165.502	10.792		1.216	2.903	8.952	18.047	38.874	49.332	20.462	0.592	4.678	9.963	5.676	8.872	5.684	1.249	20.714				19.856	1.995	18.611	1.655	1.163		14.473	23.507	0.886	0.254	4.898	2.507	9.431	1.964	5.376	0.665	0.349	0.736	57.734	88.826	1.187	6.897	3.541	43.698	213.594	7.972	23.01	1.313	6.183	12.833	15.91	1.744	4.213
